"","subj","trial","condition","RT"
"126",15,2,"Incongruent",591
"127",15,3,"Incongruent",643
"128",15,4,"Congruent",650
"129",15,5,"Incongruent",399
"130",15,6,"Incongruent",626
"131",15,7,"Incongruent",482
"132",15,8,"Incongruent",811
"133",15,9,"Incongruent",575
"134",15,10,"Congruent",418
"135",15,11,"Congruent",458
"136",15,12,"Incongruent",483
"137",15,13,"Incongruent",455
"138",15,14,"Incongruent",559
"139",15,15,"Incongruent",587
"140",15,16,"Incongruent",466
"141",15,17,"Incongruent",447
"142",15,18,"Congruent",434
"143",15,19,"Congruent",376
"144",15,20,"Incongruent",655
"145",15,21,"Incongruent",417
"146",15,22,"Incongruent",712
"147",15,23,"Congruent",698
"148",15,24,"Congruent",489
"149",15,25,"Incongruent",625
"150",15,26,"Incongruent",926
"151",15,27,"Incongruent",571
"152",15,28,"Incongruent",849
"153",15,29,"Congruent",508
"154",15,30,"Congruent",613
"155",15,31,"Congruent",588
"156",15,32,"Incongruent",614
"157",15,34,"Incongruent",1099
"158",15,35,"Incongruent",456
"159",15,36,"Incongruent",597
"160",15,37,"Incongruent",598
"161",15,38,"Congruent",572
"162",15,39,"Incongruent",631
"163",15,40,"Congruent",676
"164",15,41,"Incongruent",768
"165",15,42,"Incongruent",541
"166",15,43,"Incongruent",538
"167",15,44,"Incongruent",510
"168",15,45,"Congruent",501
"169",15,46,"Incongruent",598
"170",15,47,"Congruent",388
"171",15,48,"Congruent",505
"172",15,49,"Incongruent",484
"173",15,50,"Incongruent",611
"174",15,51,"Incongruent",513
"175",15,52,"Congruent",562
"176",15,53,"Incongruent",516
"177",15,54,"Congruent",637
"178",15,55,"Incongruent",516
"179",15,56,"Incongruent",434
"180",15,57,"Incongruent",465
"181",15,58,"Incongruent",538
"182",15,59,"Congruent",554
"183",15,60,"Incongruent",329
"184",15,61,"Incongruent",355
"185",15,62,"Congruent",419
"186",18,0,"Incongruent",2021
"187",18,1,"Congruent",834
"188",18,3,"Congruent",755
"189",18,4,"Congruent",778
"190",18,6,"Incongruent",1048
"191",18,7,"Incongruent",1039
"192",18,8,"Incongruent",777
"193",18,9,"Incongruent",560
"194",18,10,"Congruent",595
"195",18,11,"Incongruent",1503
"196",18,12,"Incongruent",961
"197",18,13,"Incongruent",551
"198",18,14,"Incongruent",750
"199",18,15,"Incongruent",481
"200",18,16,"Congruent",650
"201",18,17,"Incongruent",799
"202",18,18,"Incongruent",1023
"203",18,19,"Congruent",623
"204",18,20,"Incongruent",914
"205",18,21,"Incongruent",739
"206",18,23,"Incongruent",707
"207",18,24,"Congruent",457
"208",18,25,"Congruent",664
"209",18,26,"Incongruent",585
"210",18,27,"Congruent",564
"211",18,28,"Incongruent",1341
"212",18,29,"Congruent",733
"213",18,30,"Congruent",518
"214",18,33,"Incongruent",959
"215",18,34,"Incongruent",574
"216",18,35,"Incongruent",496
"217",18,36,"Incongruent",737
"218",18,37,"Congruent",507
"219",18,38,"Incongruent",613
"220",18,39,"Congruent",536
"221",18,40,"Congruent",551
"222",18,41,"Incongruent",1060
"223",18,44,"Congruent",641
"224",18,45,"Incongruent",598
"225",18,46,"Congruent",525
"226",18,47,"Incongruent",1566
"227",18,48,"Incongruent",569
"228",18,49,"Incongruent",538
"229",18,50,"Congruent",501
"230",18,51,"Incongruent",525
"231",18,53,"Congruent",1950
"232",18,54,"Incongruent",680
"233",18,55,"Incongruent",741
"234",18,56,"Congruent",372
"235",18,57,"Incongruent",378
"236",18,58,"Incongruent",624
"237",18,59,"Incongruent",437
"238",18,60,"Congruent",627
"239",18,61,"Incongruent",824
"240",18,62,"Incongruent",1146
"241",19,0,"Congruent",1494
"242",19,1,"Incongruent",626
"243",19,2,"Incongruent",373
"244",19,3,"Congruent",484
"245",19,4,"Incongruent",453
"246",19,5,"Congruent",535
"247",19,6,"Incongruent",543
"248",19,7,"Incongruent",414
"249",19,8,"Incongruent",420
"250",19,10,"Incongruent",1070
"251",19,11,"Congruent",526
"252",19,12,"Incongruent",659
"253",19,13,"Incongruent",733
"254",19,14,"Incongruent",582
"255",19,15,"Incongruent",632
"256",19,16,"Congruent",654
"257",19,17,"Congruent",556
"258",19,19,"Incongruent",1799
"259",19,20,"Incongruent",607
"260",19,21,"Congruent",599
"261",19,22,"Incongruent",665
"262",19,23,"Incongruent",516
"263",19,24,"Incongruent",398
"264",19,25,"Congruent",462
"265",19,26,"Congruent",561
"266",19,27,"Incongruent",848
"267",19,28,"Incongruent",347
"268",19,29,"Incongruent",425
"269",19,30,"Incongruent",592
"270",19,31,"Incongruent",434
"271",19,32,"Congruent",660
"272",19,33,"Incongruent",490
"273",19,34,"Incongruent",426
"274",19,35,"Incongruent",592
"275",19,36,"Congruent",549
"276",19,37,"Congruent",408
"277",19,38,"Incongruent",759
"278",19,39,"Incongruent",478
"279",19,40,"Incongruent",372
"280",19,41,"Congruent",485
"281",19,42,"Incongruent",535
"282",19,43,"Incongruent",479
"283",19,44,"Congruent",495
"284",19,45,"Incongruent",784
"285",19,46,"Congruent",425
"286",19,47,"Incongruent",473
"287",19,48,"Incongruent",833
"288",19,49,"Incongruent",448
"289",19,50,"Congruent",387
"290",19,51,"Congruent",522
"291",19,52,"Incongruent",744
"292",19,53,"Incongruent",479
"293",19,54,"Congruent",488
"294",19,55,"Incongruent",415
"295",19,56,"Incongruent",454
"296",19,57,"Incongruent",336
"297",19,58,"Congruent",377
"298",19,59,"Incongruent",527
"299",19,60,"Congruent",359
"300",19,61,"Incongruent",828
"301",19,62,"Incongruent",551
"302",24,0,"Congruent",1523
"303",24,1,"Congruent",599
"304",24,2,"Incongruent",566
"305",24,3,"Incongruent",683
"306",24,4,"Incongruent",648
"307",24,5,"Incongruent",519
"308",24,6,"Incongruent",463
"309",24,7,"Congruent",559
"310",24,8,"Incongruent",729
"311",24,9,"Incongruent",921
"312",24,10,"Incongruent",619
"313",24,11,"Incongruent",481
"314",24,13,"Incongruent",813
"315",24,14,"Incongruent",708
"316",24,15,"Congruent",719
"317",24,16,"Incongruent",724
"318",24,17,"Congruent",661
"319",24,18,"Incongruent",559
"320",24,19,"Incongruent",710
"321",24,20,"Incongruent",660
"322",24,21,"Congruent",497
"323",24,22,"Incongruent",752
"324",24,23,"Congruent",538
"325",24,24,"Incongruent",492
"326",24,25,"Congruent",604
"327",24,26,"Incongruent",618
"328",24,27,"Congruent",629
"329",24,28,"Incongruent",625
"330",24,29,"Incongruent",687
"331",24,30,"Incongruent",570
"332",24,31,"Incongruent",469
"333",24,32,"Incongruent",494
"334",24,33,"Incongruent",671
"335",24,34,"Congruent",613
"336",24,35,"Congruent",514
"337",24,36,"Congruent",747
"338",24,37,"Incongruent",683
"339",24,38,"Incongruent",671
"340",24,39,"Congruent",694
"341",24,40,"Incongruent",668
"342",24,41,"Incongruent",662
"343",24,42,"Incongruent",554
"344",24,43,"Congruent",593
"345",24,44,"Incongruent",577
"346",24,45,"Incongruent",726
"347",24,46,"Incongruent",743
"348",24,47,"Congruent",563
"349",24,48,"Congruent",584
"350",24,49,"Incongruent",595
"351",24,50,"Incongruent",550
"352",24,52,"Congruent",612
"353",24,53,"Incongruent",1047
"354",24,54,"Incongruent",618
"355",24,56,"Incongruent",1774
"356",24,57,"Incongruent",2151
"357",24,58,"Incongruent",886
"358",24,59,"Congruent",872
"359",24,60,"Incongruent",613
"360",24,61,"Incongruent",1471
"361",24,62,"Congruent",730
"362",36,0,"Congruent",935
"363",36,1,"Incongruent",377
"364",36,2,"Congruent",345
"365",36,3,"Congruent",280
"366",36,4,"Incongruent",536
"367",36,5,"Incongruent",511
"368",36,6,"Incongruent",762
"369",36,7,"Incongruent",393
"370",36,8,"Incongruent",639
"371",36,9,"Congruent",452
"372",36,10,"Incongruent",604
"373",36,11,"Incongruent",688
"374",36,12,"Congruent",482
"375",36,13,"Incongruent",619
"376",36,14,"Incongruent",538
"377",36,15,"Incongruent",494
"378",36,17,"Congruent",826
"379",36,19,"Incongruent",1058
"380",36,20,"Congruent",664
"381",36,21,"Incongruent",522
"382",36,22,"Congruent",410
"383",36,23,"Incongruent",590
"384",36,24,"Incongruent",386
"385",36,25,"Incongruent",600
"386",36,26,"Incongruent",622
"387",36,27,"Incongruent",543
"388",36,28,"Incongruent",530
"389",36,29,"Congruent",477
"390",36,30,"Congruent",548
"391",36,32,"Congruent",1371
"392",36,34,"Incongruent",943
"393",36,35,"Incongruent",1556
"394",36,36,"Incongruent",577
"395",36,37,"Congruent",570
"396",36,38,"Incongruent",631
"397",36,39,"Congruent",548
"398",36,40,"Incongruent",518
"399",36,41,"Incongruent",616
"400",36,42,"Congruent",551
"401",36,43,"Incongruent",860
"402",36,44,"Incongruent",536
"403",36,45,"Incongruent",561
"404",36,46,"Incongruent",474
"405",36,47,"Incongruent",594
"406",36,48,"Incongruent",522
"407",36,49,"Incongruent",419
"408",36,50,"Congruent",442
"409",36,51,"Congruent",419
"410",36,52,"Congruent",482
"411",36,53,"Congruent",466
"412",36,54,"Incongruent",443
"413",36,55,"Incongruent",548
"414",36,56,"Incongruent",418
"415",36,57,"Incongruent",448
"416",36,58,"Incongruent",452
"417",36,59,"Incongruent",504
"418",36,60,"Congruent",525
"419",36,61,"Congruent",435
"420",36,62,"Incongruent",390
"421",38,1,"Incongruent",794
"422",38,2,"Congruent",670
"423",38,3,"Incongruent",475
"424",38,4,"Incongruent",558
"425",38,5,"Incongruent",462
"426",38,6,"Congruent",569
"427",38,7,"Incongruent",437
"428",38,8,"Incongruent",652
"429",38,9,"Congruent",477
"430",38,10,"Incongruent",762
"431",38,11,"Incongruent",477
"432",38,12,"Congruent",556
"433",38,13,"Incongruent",591
"434",38,14,"Incongruent",577
"435",38,15,"Congruent",582
"436",38,16,"Congruent",594
"437",38,17,"Incongruent",635
"438",38,18,"Congruent",570
"439",38,19,"Congruent",533
"440",38,20,"Incongruent",432
"441",38,21,"Incongruent",538
"442",38,22,"Incongruent",493
"443",38,23,"Congruent",482
"444",38,24,"Incongruent",651
"445",38,25,"Incongruent",528
"446",38,26,"Congruent",536
"447",38,27,"Incongruent",515
"448",38,28,"Incongruent",378
"449",38,29,"Congruent",580
"450",38,30,"Incongruent",590
"451",38,31,"Incongruent",663
"452",38,32,"Incongruent",472
"453",38,33,"Congruent",416
"454",38,34,"Incongruent",527
"455",38,35,"Incongruent",721
"456",38,36,"Congruent",551
"457",38,37,"Incongruent",567
"458",38,38,"Congruent",555
"459",38,39,"Incongruent",432
"460",38,40,"Incongruent",483
"461",38,41,"Congruent",535
"462",38,42,"Incongruent",506
"463",38,43,"Incongruent",552
"464",38,44,"Incongruent",484
"465",38,45,"Incongruent",652
"466",38,46,"Incongruent",443
"467",38,47,"Incongruent",569
"468",38,48,"Incongruent",589
"469",38,49,"Congruent",738
"470",38,50,"Congruent",801
"471",38,51,"Incongruent",552
"472",38,52,"Congruent",404
"473",38,53,"Congruent",523
"474",38,54,"Incongruent",565
"475",38,55,"Incongruent",600
"476",38,56,"Incongruent",513
"477",38,57,"Incongruent",548
"478",38,58,"Incongruent",672
"479",38,59,"Incongruent",549
"480",38,60,"Incongruent",486
"481",38,61,"Congruent",528
"482",38,62,"Congruent",570
"483",45,0,"Incongruent",1023
"484",45,1,"Incongruent",497
"485",45,2,"Incongruent",1221
"486",45,3,"Congruent",500
"487",45,4,"Congruent",461
"488",45,5,"Congruent",436
"489",45,6,"Incongruent",597
"490",45,7,"Incongruent",392
"491",45,8,"Incongruent",514
"492",45,9,"Incongruent",549
"493",45,10,"Incongruent",683
"494",45,11,"Incongruent",513
"495",45,12,"Congruent",475
"496",45,13,"Incongruent",518
"497",45,14,"Congruent",388
"498",45,15,"Incongruent",565
"499",45,16,"Congruent",471
"500",45,17,"Incongruent",401
"501",45,18,"Congruent",496
"502",45,19,"Incongruent",559
"503",45,20,"Incongruent",572
"504",45,21,"Congruent",802
"505",45,22,"Incongruent",486
"506",45,23,"Incongruent",528
"507",45,24,"Incongruent",523
"508",45,25,"Congruent",436
"509",45,26,"Congruent",421
"510",45,28,"Incongruent",562
"511",45,29,"Congruent",614
"512",45,30,"Incongruent",594
"513",45,31,"Incongruent",592
"514",45,32,"Incongruent",474
"515",45,33,"Incongruent",643
"516",45,34,"Incongruent",553
"517",45,35,"Congruent",644
"518",45,36,"Congruent",608
"519",45,37,"Incongruent",580
"520",45,38,"Incongruent",511
"521",45,39,"Incongruent",429
"522",45,40,"Incongruent",452
"523",45,41,"Congruent",489
"524",45,42,"Congruent",601
"525",45,43,"Congruent",506
"526",45,44,"Incongruent",380
"527",45,45,"Incongruent",554
"528",45,46,"Incongruent",486
"529",45,47,"Incongruent",583
"530",45,48,"Incongruent",722
"531",45,49,"Incongruent",424
"532",45,50,"Congruent",665
"533",45,51,"Incongruent",662
"534",45,52,"Congruent",724
"535",45,53,"Incongruent",440
"536",45,54,"Incongruent",434
"537",45,55,"Incongruent",586
"538",45,56,"Incongruent",701
"539",45,57,"Incongruent",436
"540",45,58,"Congruent",593
"541",45,59,"Congruent",526
"542",45,60,"Congruent",528
"543",45,61,"Incongruent",697
"544",45,62,"Incongruent",400
"545",48,0,"Incongruent",1691
"546",48,1,"Congruent",938
"547",48,3,"Congruent",595
"548",48,4,"Incongruent",454
"549",48,5,"Incongruent",693
"550",48,6,"Incongruent",450
"551",48,7,"Congruent",606
"552",48,8,"Congruent",443
"553",48,9,"Incongruent",770
"554",48,10,"Congruent",602
"555",48,11,"Incongruent",848
"556",48,12,"Incongruent",674
"557",48,14,"Incongruent",1015
"558",48,15,"Incongruent",702
"559",48,16,"Incongruent",549
"560",48,17,"Incongruent",392
"561",48,18,"Congruent",391
"562",48,19,"Incongruent",786
"563",48,21,"Incongruent",750
"564",48,22,"Incongruent",865
"565",48,23,"Congruent",398
"566",48,24,"Congruent",664
"567",48,25,"Incongruent",565
"568",48,26,"Congruent",450
"569",48,27,"Incongruent",512
"570",48,28,"Incongruent",345
"571",48,29,"Incongruent",678
"572",48,31,"Congruent",670
"573",48,32,"Congruent",444
"574",48,33,"Incongruent",572
"575",48,34,"Incongruent",454
"576",48,35,"Congruent",520
"577",48,36,"Incongruent",736
"578",48,37,"Incongruent",626
"579",48,38,"Incongruent",749
"580",48,39,"Incongruent",539
"581",48,40,"Incongruent",743
"582",48,41,"Congruent",515
"583",48,42,"Congruent",796
"584",48,43,"Incongruent",593
"585",48,44,"Incongruent",694
"586",48,45,"Congruent",387
"587",48,46,"Incongruent",706
"588",48,47,"Congruent",504
"589",48,48,"Incongruent",618
"590",48,49,"Incongruent",613
"591",48,50,"Incongruent",504
"592",48,51,"Incongruent",403
"593",48,52,"Incongruent",754
"594",48,53,"Incongruent",606
"595",48,54,"Congruent",501
"596",48,55,"Incongruent",671
"597",48,56,"Congruent",636
"598",48,57,"Incongruent",937
"599",48,58,"Incongruent",725
"600",48,59,"Incongruent",797
"601",48,60,"Congruent",606
"602",48,61,"Incongruent",563
"603",48,62,"Congruent",389
"604",2,0,"Congruent",1771
"605",2,2,"Congruent",576
"606",2,4,"Incongruent",920
"607",2,6,"Congruent",704
"608",2,7,"Incongruent",1154
"609",2,8,"Congruent",648
"610",2,9,"Incongruent",699
"611",2,10,"Incongruent",881
"612",2,11,"Incongruent",577
"613",2,12,"Incongruent",458
"614",2,13,"Incongruent",652
"615",2,14,"Incongruent",529
"616",2,15,"Congruent",427
"617",2,16,"Congruent",651
"618",2,17,"Congruent",459
"619",2,18,"Incongruent",402
"620",2,19,"Incongruent",555
"621",2,22,"Incongruent",2130
"622",2,23,"Incongruent",422
"623",2,24,"Incongruent",700
"624",2,25,"Congruent",554
"625",2,26,"Incongruent",757
"626",2,27,"Incongruent",763
"627",2,28,"Congruent",736
"628",2,29,"Incongruent",690
"629",2,30,"Congruent",442
"630",2,31,"Incongruent",817
"631",2,32,"Congruent",499
"632",2,33,"Incongruent",675
"633",2,34,"Incongruent",705
"634",2,35,"Congruent",687
"635",2,36,"Incongruent",620
"636",2,37,"Congruent",544
"637",2,38,"Congruent",650
"638",2,39,"Incongruent",560
"639",2,40,"Incongruent",613
"640",2,41,"Incongruent",1380
"641",2,42,"Incongruent",1090
"642",2,43,"Congruent",613
"643",2,45,"Incongruent",1292
"644",2,46,"Congruent",538
"645",2,47,"Congruent",509
"646",2,48,"Incongruent",654
"647",2,49,"Incongruent",628
"648",2,50,"Incongruent",1216
"649",2,51,"Incongruent",516
"650",2,52,"Incongruent",1025
"651",2,53,"Incongruent",591
"652",2,54,"Congruent",692
"653",2,55,"Congruent",530
"654",2,57,"Congruent",579
"655",2,58,"Incongruent",566
"656",2,59,"Incongruent",674
"657",2,60,"Congruent",437
"658",2,61,"Incongruent",662
"659",2,62,"Incongruent",764
"660",3,0,"Congruent",1148
"661",3,1,"Incongruent",615
"662",3,2,"Incongruent",445
"663",3,3,"Congruent",399
"664",3,4,"Incongruent",364
"665",3,5,"Incongruent",424
"666",3,6,"Incongruent",412
"667",3,7,"Incongruent",282
"668",3,8,"Incongruent",278
"669",3,9,"Incongruent",599
"670",3,10,"Incongruent",396
"671",3,11,"Congruent",456
"672",3,12,"Incongruent",429
"673",3,13,"Congruent",465
"674",3,14,"Incongruent",309
"675",3,15,"Congruent",558
"676",3,17,"Congruent",556
"677",3,18,"Incongruent",581
"678",3,19,"Incongruent",496
"679",3,20,"Incongruent",506
"680",3,21,"Incongruent",331
"681",3,22,"Incongruent",467
"682",3,23,"Congruent",336
"683",3,24,"Congruent",476
"684",3,25,"Incongruent",493
"685",3,28,"Incongruent",1636
"686",3,29,"Incongruent",556
"687",3,30,"Incongruent",329
"688",3,31,"Congruent",276
"689",3,32,"Incongruent",308
"690",3,33,"Incongruent",447
"691",3,34,"Congruent",521
"692",3,35,"Congruent",366
"693",3,36,"Incongruent",664
"694",3,37,"Congruent",393
"695",3,38,"Incongruent",379
"696",3,39,"Incongruent",726
"697",3,40,"Congruent",414
"698",3,42,"Incongruent",543
"699",3,43,"Congruent",562
"700",3,44,"Incongruent",413
"701",3,45,"Incongruent",378
"702",3,46,"Incongruent",557
"703",3,47,"Incongruent",404
"704",3,48,"Incongruent",492
"705",3,50,"Incongruent",757
"706",3,51,"Incongruent",619
"707",3,52,"Incongruent",610
"708",3,53,"Congruent",502
"709",3,54,"Incongruent",543
"710",3,55,"Congruent",663
"711",3,56,"Incongruent",402
"712",3,57,"Incongruent",566
"713",3,58,"Congruent",511
"714",3,59,"Incongruent",526
"715",3,60,"Incongruent",735
"716",3,62,"Congruent",467
"717",4,0,"Incongruent",1334
"718",4,1,"Congruent",471
"719",4,2,"Incongruent",583
"720",4,3,"Congruent",494
"721",4,4,"Incongruent",481
"722",4,5,"Incongruent",529
"723",4,6,"Incongruent",401
"724",4,7,"Incongruent",464
"725",4,8,"Incongruent",378
"726",4,9,"Incongruent",494
"727",4,10,"Incongruent",531
"728",4,11,"Congruent",615
"729",4,12,"Congruent",482
"730",4,13,"Incongruent",497
"731",4,14,"Congruent",465
"732",4,15,"Incongruent",921
"733",4,16,"Congruent",701
"734",4,17,"Incongruent",509
"735",4,18,"Incongruent",414
"736",4,19,"Incongruent",624
"737",4,20,"Incongruent",671
"738",4,21,"Congruent",494
"739",4,22,"Incongruent",853
"740",4,23,"Incongruent",474
"741",4,24,"Congruent",679
"742",4,25,"Congruent",563
"743",4,26,"Incongruent",579
"744",4,27,"Incongruent",528
"745",4,28,"Congruent",441
"746",4,29,"Congruent",487
"747",4,31,"Incongruent",719
"748",4,32,"Incongruent",1001
"749",4,33,"Incongruent",784
"750",4,34,"Congruent",550
"751",4,35,"Incongruent",929
"752",4,36,"Incongruent",549
"753",4,37,"Incongruent",455
"754",4,38,"Incongruent",479
"755",4,39,"Incongruent",643
"756",4,40,"Incongruent",580
"757",4,41,"Congruent",662
"758",4,42,"Congruent",457
"759",4,43,"Congruent",493
"760",4,44,"Incongruent",562
"761",4,45,"Incongruent",582
"762",4,46,"Incongruent",630
"763",4,47,"Incongruent",624
"764",4,48,"Congruent",506
"765",4,49,"Incongruent",673
"766",4,50,"Incongruent",718
"767",4,51,"Incongruent",554
"768",4,52,"Congruent",521
"769",4,53,"Incongruent",579
"770",4,54,"Congruent",615
"771",4,55,"Congruent",516
"772",4,56,"Congruent",560
"773",4,57,"Congruent",504
"774",4,58,"Incongruent",718
"775",4,59,"Incongruent",681
"776",4,60,"Incongruent",457
"777",4,61,"Incongruent",577
"778",4,62,"Incongruent",719
"779",5,1,"Incongruent",782
"780",5,2,"Incongruent",808
"781",5,3,"Congruent",519
"782",5,4,"Incongruent",495
"783",5,5,"Incongruent",569
"784",5,6,"Congruent",431
"785",5,8,"Congruent",760
"786",5,9,"Congruent",674
"787",5,10,"Incongruent",673
"788",5,11,"Incongruent",664
"789",5,12,"Incongruent",545
"790",5,13,"Incongruent",495
"791",5,14,"Congruent",552
"792",5,15,"Congruent",559
"793",5,16,"Incongruent",571
"794",5,17,"Incongruent",531
"795",5,18,"Congruent",746
"796",5,19,"Incongruent",729
"797",5,20,"Incongruent",600
"798",5,21,"Incongruent",461
"799",5,22,"Congruent",586
"800",5,23,"Congruent",536
"801",5,24,"Incongruent",706
"802",5,25,"Incongruent",457
"803",5,26,"Incongruent",672
"804",5,27,"Incongruent",489
"805",5,28,"Incongruent",626
"806",5,29,"Congruent",440
"807",5,30,"Congruent",585
"808",5,31,"Incongruent",760
"809",5,32,"Congruent",659
"810",5,33,"Incongruent",536
"811",5,34,"Congruent",394
"812",5,35,"Incongruent",543
"813",5,36,"Incongruent",625
"814",5,37,"Incongruent",684
"815",5,38,"Incongruent",546
"816",5,39,"Incongruent",585
"817",5,40,"Incongruent",594
"818",5,41,"Congruent",481
"819",5,42,"Incongruent",646
"820",5,43,"Incongruent",626
"821",5,44,"Incongruent",602
"822",5,45,"Incongruent",658
"823",5,46,"Congruent",608
"824",5,47,"Congruent",666
"825",5,48,"Incongruent",682
"826",5,49,"Incongruent",649
"827",5,50,"Incongruent",641
"828",5,51,"Congruent",631
"829",5,52,"Congruent",528
"830",5,53,"Incongruent",605
"831",5,54,"Incongruent",559
"832",5,55,"Incongruent",499
"833",5,56,"Congruent",535
"834",5,57,"Congruent",578
"835",5,58,"Incongruent",602
"836",5,59,"Incongruent",720
"837",5,60,"Incongruent",720
"838",5,61,"Congruent",597
"839",5,62,"Incongruent",456
"840",6,0,"Incongruent",1919
"841",6,1,"Incongruent",1750
"842",6,2,"Incongruent",607
"843",6,3,"Congruent",363
"844",6,4,"Congruent",473
"845",6,5,"Incongruent",633
"846",6,6,"Incongruent",517
"847",6,7,"Congruent",529
"848",6,8,"Incongruent",562
"849",6,9,"Incongruent",559
"850",6,10,"Incongruent",658
"851",6,11,"Incongruent",815
"852",6,12,"Congruent",560
"853",6,13,"Incongruent",555
"854",6,14,"Congruent",509
"855",6,15,"Incongruent",541
"856",6,16,"Incongruent",587
"857",6,17,"Incongruent",501
"858",6,18,"Congruent",558
"859",6,19,"Incongruent",561
"860",6,20,"Incongruent",568
"861",6,21,"Congruent",386
"862",6,22,"Incongruent",556
"863",6,23,"Incongruent",480
"864",6,24,"Incongruent",414
"865",6,25,"Incongruent",424
"866",6,26,"Congruent",566
"867",6,27,"Congruent",602
"868",6,28,"Congruent",556
"869",6,29,"Incongruent",1104
"870",6,30,"Incongruent",632
"871",6,31,"Congruent",581
"872",6,32,"Incongruent",552
"873",6,33,"Congruent",633
"874",6,34,"Incongruent",584
"875",6,35,"Incongruent",722
"876",6,36,"Congruent",508
"877",6,37,"Incongruent",655
"878",6,38,"Incongruent",531
"879",6,39,"Congruent",417
"880",6,40,"Incongruent",533
"881",6,41,"Congruent",568
"882",6,42,"Incongruent",431
"883",6,43,"Congruent",490
"884",6,44,"Incongruent",525
"885",6,45,"Incongruent",666
"886",6,46,"Incongruent",772
"887",6,47,"Incongruent",556
"888",6,48,"Incongruent",679
